"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Should throw when email already registered","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testRegisterThrowsWhenAlreadyRegistered"
"","13","Should return 401 when credentials are invalid","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Login Controller Tests","com.luxus.tinterest.controller.LoginControllerTests","testLoginWithInvalidCredentials"
"","2","Should throw when resend code for missing user","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testResendCodeThrowsWhenUserMissing"
"","92","Should not register a user with invalid input","","Thu May 28 15:50:27 UTC 2026","passed","Thu May 28 15:50:28 UTC 2026","","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","shouldReturnBadRequestForInvalidRegistration"
"","14","Should return 400 when email is missing","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Registration Controller Tests","com.luxus.tinterest.controller.RegistrationControllerTests","testRegistrationWithoutEmail"
"","14","Should return 400 when reaction is invalid","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testSwipeInvalidReactionType"
"","716","Should execute custom query methods for User repository","","Thu May 28 15:50:20 UTC 2026","passed","Thu May 28 15:50:21 UTC 2026","","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","shouldExecuteCustomQueryMethods"
"","13","Should return 404 when chat not found","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatNotFound"
"","3","Should rotate refresh token successfully","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testRotateCreatesNewToken"
"","15","Should successfully register new user","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Registration Controller Tests","com.luxus.tinterest.controller.RegistrationControllerTests","testSuccessfulRegistration"
"","277","Should return not found for missing profile","","Thu May 28 15:50:28 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","shouldReturnNotFoundForMissingProfile"
"","10","Should return 403 when no access to chat messages","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatMessagesAccessDenied"
"","18","Should allow email verification without authentication","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testEmailVerificationWithoutAuthentication"
"","5","Should throw exception when userRepository.count() fails","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenUserCountFails"
"","7","Should return 401 when creating group chat without authentication","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testCreateGroupChatWithoutAuthentication"
"","10","Should successfully unblock user","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testUnblockUserSuccess"
"","10","Should return 400 when attempting invalid admin operation on unblock","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testUnblockUserForbidden"
"","21","Should retrieve empty page when no users match filter","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testGetUsersByEmailNoResults"
"","4","Should throw when profile user is missing","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","ProfileService Unit Tests","com.luxus.tinterest.service.ProfileServiceTests","testGetProfileThrowsWhenUserMissing"
"","12","Should return 404 when user not found","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testEmailVerifyUserNotFound"
"","354","Should return forbidden when authenticated user has wrong role","","Thu May 28 15:50:28 UTC 2026","passed","Thu May 28 15:50:28 UTC 2026","","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","shouldReturnForbiddenForWrongRole"
"","14","Should return 404 when chat not found for messages","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testGetChatMessagesNotFound"
"","14","Should return 401 when accessing admin statistics without authorization","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testGetStatisticsWithoutAuthorization"
"","10","Should return 401 when retrieving filtered recommendations without authentication","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testGetFilteredRecommendationsWithoutAuthentication"
"","2","Should throw invalid refresh token when revoke fails","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testRevokeThrowsWhenTokenMissing"
"","15","Should retrieve recommendation with default limit","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testGetRecommendationDefaultLimit"
"","66","Should throw refresh token revoked","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testRotateThrowsWhenRevoked"
"","3","Should refresh tokens using rotated refresh token","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testRefreshReturnsNewTokens"
"","11","Should return 400 for invalid chat operation","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testCreateDirectChatInvalidOperation"
"","2","Should handle negative counts from repository","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldHandleNegativeCounts"
"","3","Should handle cities and interests with special characters","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Edge Cases and Boundary Tests","com.luxus.tinterest.service.AdminStatisticsServiceTest$EdgeCaseTests","shouldHandleSpecialCharacters"
"","29","Should return 400 when city is missing","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testCompleteProfileWithoutName"
"","4","Should return complete statistics with all data","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Positive Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$PositiveTests","shouldReturnCompleteStatistics"
"","2","Should throw refresh token reused and revoke family","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","RefreshTokenService Unit Tests","com.luxus.tinterest.service.RefreshTokenServiceTests","testRotateThrowsWhenTokenReused"
"","5","Should resend email code and send it by emailService","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testResendEmailCode"
"","13","Should successfully send message","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testSendMessageSuccess"
